zz,xx,a,b,c,d,e,f,g
1,wish,information,switch,,,,,
2,wish,interactive,like,,,,,
3,wish,part,go,,,,,
4,wish,user,,,,,,
5,wish,user,easy,,,,,
6,wish,,,,,,,
7,wish,video,,,,,,
8,wish,digital,petrona,,,,,
9,wish,information,,,,,,
10,wish,digital,,,,,,
11,wish,push,,,,,,
12,wish,user,understand,top,,,,
13,wish,interactive,,,,,,
14,wish,video,short,,,,,
15,wish,information,stop,,,,,
16,wish,point,mesra,,,,,
17,wish,challenge,,,,,,
18,wish,video,catch,oil,,,,
19,wish,way,,,,,,
20,wish,video,informative,,,,,
21,wish,knowledge,,,,,,
22,wish,share,,,,,,
23,wish,access,,,,,,
24,wish,info,,,,,,
25,wish,staff,,,,,,
26,wish,video,time,,,,,
27,wish,best,,,,,,
28,wish,way,fast,,,,,
29,wish,interactive,like,fact,,,,
30,wish,share,lot,,,,,
31,wish,interactive,like,watch,,,,
32,wish,video,apply,,,,,
33,wish,video,informative,smart,,,,
34,wish,interactive,like,byte,,,,
35,wish,success,,,,,,
36,wish,digital,transformation,,,,,
37,wish,friendly,,,,,,
38,wish,user,understand,top,gas,,,
39,wish,video,journey,,,,,
40,wish,video,informative,start,,,,
41,wish,info,job,,,,,
42,wish,point,,,,,,
43,wish,digital,people,,,,,
44,wish,digital,culture,,,,,
45,wish,info,hope,,,,,
46,wish,information,use,,,,,
47,wish,faster,,,,,,
48,wish,platform,,,,,,
49,wish,share,company,,,,,
50,wish,information,great,,,,,
51,wish,update,,,,,,
52,wish,way,design,,,,,
53,wish,video,presentation,deliver,,,,
54,wish,size,,,,,,
55,wish,information,ease,,,,,
56,wish,notification,,,,,,
57,wish,station,,,,,,
58,wish,learn,earn,,,,,
59,wish,station,feedback,,,,,
60,wish,info,get,,,,,
61,wish,info,get,responds,,,,
62,wish,content,,,,,,
63,wish,provide,suggestion,,,,,
64,wish,video,category,predictive,,,,
65,wish,team,greater,,,,,
66,wish,able,,,,,,
67,wish,video,simple,,,,,
68,wish,app,,,,,,
69,wish,info,want,,,,,
70,wish,link,concise,,,,,
71,wish,interactive,like,te,,,,
72,wish,video,business,,,,,
73,wish,video,awesome,,,,,
74,wish,interactive,make,,,,,
75,wish,learn,,,,,,
76,wish,load,,,,,,
77,wish,user,easy,gain,,,,
78,wish,operation,,,,,,
79,wish,operation,division,,,,,
80,wish,station,day,,,,,
81,wish,play,,,,,,
82,wish,point,system,,,,,
83,wish,user,exchange,,,,,
84,wish,point,normal,,,,,
85,wish,encourage,,,,,,
86,wish,video,catch,,,,,
87,wish,digitalization,,,,,,
88,wish,interactive,social,,,,,
89,wish,interactive,like,media,,,,
90,wish,information,ease,daily,,,,
91,wish,work,,,,,,
92,wish,staff,know,achievement,,,,
93,wish,leader,,,,,,
94,wish,provide,,,,,,
95,wish,way,valuable,,,,,
96,wish,real,,,,,,
97,wish,link,,,,,,
98,wish,video,short,duration,,,,
99,wish,real,case,,,,,
100,wish,app,single,,,,,
101,wish,digital,initiative,,,,,
102,wish,digital,petrona,lead,,,,
103,wish,digital,idea,,,,,
104,wish,comment,,,,,,
105,wish,share,experience,,,,,
106,wish,better,,,,,,
107,wish,share,latest,,,,,
108,wish,see,,,,,,
109,wish,app,layout,,,,,
110,wish,share,explanation,,,,,
111,wish,digital,data,,,,,
112,wish,user,interface,,,,,
113,wish,digital,procurement,,,,,
114,wish,point,redeem,,,,,
115,wish,detail,prescriptive,,,,,
116,wish,digital,length,,,,,
117,wish,share,story,,,,,
118,wish,view,,,,,,
119,wish,digital,term,,,,,
120,wish,part,,,,,,
121,wish,team,,,,,,
122,wish,team,email,,,,,
123,wish,video,time,net,,,,
124,wish,video,time,operator,,,,
125,wish,plant,,,,,,
126,wish,share,desktop,,,,,
127,wish,information,use,claim,,,,
128,wish,info,want,emailing,,,,
129,wish,encourage,check,,,,,
130,wish,platform,drive,,,,,
131,wish,push,phone,,,,,
132,wish,point,network,,,,,
133,wish,push,phone,accessibility,,,,
134,wish,plant,office,,,,,
135,wish,plant,par,,,,,
136,wish,information,switch,mobile,,,,
137,wish,bonus,,,,,,
138,wish,technical,,,,,,
139,wish,video,give,,,,,
140,wish,digital,petronas,,,,,
141,wish,digital,strategy,,,,,
142,wish,share,interact,,,,,
143,wish,video,world,,,,,
144,wish,video,short,love,,,,
145,wish,digital,infrastructure,,,,,
146,wish,plant,office,requirement,,,,
147,wish,user,available,opus,list,likes..information..digital.journey,,
148,wish,user,available,opus,list,likes..information..digital.journey,..wish,
149,wish,user,available,opus,list,likes..information..digital.journey,..better.sprea,
150,wish,digital,related,,,,,
151,wish,interactive,make,diverse,,,,
152,wish,receive,,,,,,
153,wish,updatesreminder,,,,,,
154,wish,updatesreminder,enter,,,,,
155,wish,interactive,like,motivator,,,,
156,wish,reward,,,,,,
157,wish,update,create,,,,,
158,wish,reward,excitement,,,,,
159,wish,update,create,suggest,,,,
160,wish,leaderboard,,,,,,
161,wish,link,ebook,,,,,
162,wish,outside,,,,,,
163,wish,interactive,like,much,,,,
164,wish,staff,aware,,,,,
165,wish,interactive,like,vision,,,,
166,wish,share,company,cam,,,,
167,wish,challenge,level,contribute,,,,
168,wish,way,thing,,,,,
169,wish,fun,,,,,,
170,wish,og,,,,,,
171,wish,video,industry,,,,,
172,wish,video,awesome,depth,,,,
173,wish,game,,,,,,
174,wish,base,,,,,,
175,wish,digital,eg,,,,,
176,wish,digital,resource,,,,,
177,wish,digital,eg,assistance,,,,
178,wish,recent,,,,,,
179,wish,digital,activity,,,,,
180,wish,digital,sharp,,,,,
181,wish,information,switch,cont,,,,
182,wish,digital,add,,,,,
183,wish,digital,idea,actual,,,,
184,wish,digital,idea,actual,line,,,
185,wish,station,remarkable,,,,,
186,wish,update,create,competitive,,,,
187,wish,way,environment,,,,,
188,wish,video,time,quality,,,,
189,wish,learn,speed,,,,,
190,wish,learn,dominate,,,,,
191,wish,digital,pcb,,,,,
192,wish,digital,balance,soft,,,,
193,wish,digital,balance,soft,humane,,,
194,wish,video,key,,,,,
195,wish,video,informative,direction,regarde,,,
196,wish,user,attractive,,,,,
197,wish,station,open,,,,,
198,wish,digital,people,throw,,,,
199,wish,interactive,like,cool,,,,
200,wish,interactive,follow,,,,,
201,wish,work,education,,,,,
202,wish,digital,increase,,,,,
203,wish,digital,awareness,,,,,
204,wish,information,stop,center,impart,,,
205,wish,digital,data,organisation,,,,
206,wish,video,category,,,,,
207,wish,video,category,descriptive,,,,
208,wish,station,cognitive,,,,,
209,wish,approach,,,,,,
210,wish,interactive,captur,,,,,
211,wish,approach,one,,,,,
212,wish,interactive,captur,imagination,,,,
213,wish,option,,,,,,
214,wish,video,category,specific,,,,
215,wish,share,need,,,,,
216,wish,station,notify,,,,,
217,wish,digital,idea,border,timeless,,,
218,wish,example,,,,,,
219,wish,example,digitization,,,,,
220,wish,video,short,high,,,,
221,wish,challenge,level,,,,,
222,wish,share,lack,,,,,
223,wish,innovative,implementation,,,,,
224,wish,user,come,,,,,
225,wish,user,come,cost,,,,
226,wish,user,come,observe,,,,
227,wish,user,come,cost,biggest,,,
228,wish,share,interact,dapp,,,,
229,wish,video,give,advantage,,,,
230,wish,information,switch,let,,,,
231,wish,video,look,,,,,
232,wish,video,look,customer,,,,
233,wish,video,look,lense,,,,
234,wish,information,switch,collaboration,,,,
235,wish,team,greater,pace,tolerate,,,
236,wish,team,greater,pace,tolerate,4th,,
237,wish,team,greater,pace,tolerate,industrial,,
238,wish,era,,,,,,
239,wish,information,stop,centre,,,,
